suhu,kelembaban,curah_hujan
24.4,70.0,14.5
22.1,84.23055708180709,0.0
26.3,62.0,0.0
25.6,63.0,0.0
24.9,72.0,0.0
23.9,82.0,9.6
22.0,92.0,55.342166666666664
25.0,68.0,0.0
25.1,67.0,0.0
25.1,73.0,0.0
24.6,80.0,0.0
22.4,84.0,0.9599999999999997
24.5,82.0,5.5
24.5,73.0,0.5
22.1,84.23055708180709,0.0
26.5,69.0,0.0
23.4,84.0,0.7300000000000002
27.2,67.0,0.0
26.0,77.0,0.0
24.2,81.0,5.1
22.6,83.0,8.0
22.1,84.23055708180709,0.0
22.6,87.0,2.1
22.3,92.0,56.0
24.3,82.0,10.2
24.3,83.0,6.859999999999999
22.2,92.0,0.7
23.7,86.0,11.4
24.3,83.0,0.0
24.7,82.0,1.7100000000000002
24.5,84.0,1.0
22.0,92.0,55.342166666666664
24.5,82.0,4.050000000000001
22.2,92.0,3.0
23.0,92.0,37.1
